               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,            0.015116,           0.0072901,                   0,             0.99947,                   1,               0.995,             0.90163,           0.0046098,             0.00302,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.014126,            0.006805,                   0,             0.99946,                   1,               0.995,             0.88608,           0.0039821,           0.0028931,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.014494,            0.006779,                   0,             0.99946,                   1,               0.995,             0.91987,           0.0032912,           0.0027538,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.012833,           0.0064925,                   0,             0.99947,                   1,               0.995,             0.94208,           0.0034943,           0.0026975,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.011246,           0.0063915,                   0,             0.99949,                   1,               0.995,              0.9077,            0.004946,            0.002824,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.010105,           0.0063276,                   0,             0.99948,                   1,               0.995,             0.93619,           0.0030526,           0.0027396,                   0,            0.002872,            0.002872,            0.002872
                  20,           0.0088813,           0.0060548,                   0,             0.99947,                   1,               0.995,             0.93137,           0.0025653,           0.0026293,                   0,            0.002476,            0.002476,            0.002476
                  21,           0.0089409,           0.0059651,                   0,             0.99948,                   1,               0.995,             0.95515,           0.0025082,           0.0025501,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.008317,           0.0056553,                   0,             0.99947,                   1,               0.995,              0.9489,           0.0024586,           0.0024811,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.010099,           0.0058303,                   0,             0.99951,                   1,               0.995,             0.94983,           0.0023489,            0.002457,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.010195,            0.005587,                   0,             0.99952,                   1,               0.995,             0.96588,           0.0021711,           0.0024053,                   0,            0.000892,            0.000892,            0.000892
